Company Name,Web URL,Country
Kingfisher PLC,https://www.kingfisher.com/en/index.html,United Kingdom
Kraft Heinz Co,,United Kingdom
Lancashire Holdings Ltd,,
Law Debenture Corp PLC,,
Legal & General Group PLC,https://group.legalandgeneral.com/en,United Kingdom
Liontrust Asset Management PLC,,
Lloyds Banking Group PLC,https://www.lloydsbankinggroup.com/,United Kingdom
LondonMetric Property PLC,,
LPS(Incl. Scottish Gov and all Local Auth),,
LXI Reit PLC,,
M&G plc,https://www.mandgplc.com/,United Kingdom
M&S,,
Man Group PLC,,
Marks & Spencer Group PLC,,
Marshalls PLC,,
Mediclinic International PLC,,
Meggitt PLC,,United Kingdom
Melrose Industries PLC,,United Kingdom
Mercantile Investment Trust (The) PLC,,
MHRA,,
Micro Focus International PLC,,
Mitchells & Butlers PLC,https://www.mbplc.com/,United Kingdom
Mitie Group PLC,,United Kingdom
Mitsubishi Corporation,https://www.mitsubishicorp.com/gb/en/,United Kingdom
MoD,,
MoJ,,
Mondi PLC,,United Kingdom
Moneysupermarket.com Group PLC,,
Moonpig Group PLC,,
Morgan Advanced Materials PLC,,United Kingdom
Mott McDonald,,United Kingdom
Murray Income Trust Plc ,,
Murray International Trust PLC,,
National Express Group PLC,https://www.nationalexpressgroup.com/,United Kingdom
National Grid PLC,https://www.nationalgrid.com/,United Kingdom
Natura,,United Kingdom
NCC Group PLC,,United Kingdom
Network International Holdings Ltd,,
Network Rail (Department for Transport),,United Kingdom
Next PLC,,United Kingdom
Ninety One Plc,,
O2/Virgin Media JV,,United Kingdom
Ocado Group PLC,,United Kingdom
Omron,,United Kingdom
OSB GROUP PLC (Onesavings Bank PLC prior to 11/2020),,
Oxford Biomedica PLC,,
Oxford Instruments PLC,,
Paragon Banking Group PLC,,
Personal Assets Trust PLC,,
Petershill Partners PLC,,
Petropavlovsk PLC,,
Pets At Home Group PLC,https://investors.petsathome.com/,United Kingdom
Pfizer,,United Kingdom
Playtech PLC,,
Plus500 Ltd,https://www.plus500.com/en/,United Kingdom
Polar Capital Technology Trust PLC,,
Polymetal International PLC,,United Kingdom
Premier Foods PLC,https://www.premierfoods.co.uk/,United Kingdom
Primary Health Properties PLC,,
Provident Financial,,
PureTech Health PLC,,
PZ Cussons PLC,https://www.pzcussons.com/,United Kingdom
QinetiQ Group PLC,,
Quilter PLC,,
Rathbone Brothers PLC,,
Reach plc,,
Reckitt Benckiser Group PLC,https://www.reckitt.com/,United Kingdom
Redde Northgate PLC,,
Redrow PLC,,
Renewables Infrastructure Group (The) Ltd,,
Rentokil Initial PLC,,United Kingdom
RHI Magnesita NV,,
Rightmove PLC,,
Rio Tinto PLC,https://www.riotinto.com/en,United Kingdom
Roche Holding,,United Kingdom
Rolls-Royce Holdings PLC,https://www.rolls-royce.com/,United Kingdom
Rotork PLC,,
Royal Mail PLC,,United Kingdom
Safestore Holdings PLC,,
Sanne Group PLC,,
"SaT / PE (CVC, KKR, Bain)",,United Kingdom
Schroder Oriental Income Fund LTD,,
Scottish American Investment Company PLC,,
Scottish Mortgage Investment Trust PLC,,
SDCL Energy Efficiency Income Trust,,
Segro PLC,https://www.segro.com/,United Kingdom
Sequoia Economic Infrastructure Income Fund Ltd,,
Serco Group PLC,,
Severn Trent PLC,,United Kingdom
Sky Group ,,
Smith & Nephew PLC,https://www.smith-nephew.com/uk/,United Kingdom
Smiths Group PLC,,United Kingdom
Smithson Investment Trust PLC,,
Smurfit Kappa Group PLC,,United Kingdom
Spectris PLC,,United Kingdom
Spirax-Sarco Engineering PLC,,United Kingdom
Spirent Communications PLC,,
SSP Group PLC,,United Kingdom
St James's Place PLC,,
Syncona Ltd,,
Synthomer PLC,,
Taylor Wimpey PLC,,United Kingdom
Telecom Plus PLC,,
Tesco PLC,,United Kingdom
Thames Water,,
The Procter & Gamble Company,https://www.pg.co.uk/,United Kingdom
Thomson Reuters,,United Kingdom
TI Fluid Systems PLC,,
TP ICap PLC,,
TR Property Investment Trust PLC,,
Trainline PLC,,
Travis Perkins PLC,,United Kingdom
Tritax Big Box REIT PLC,,
Tritax EuroBox PLC,,
Trustpilot Group PLC,,
TUI AG,,
Tyman PLC,,
UK Commercial Property Reit Ltd,,
Ultra Electronics Holdings PLC,,
Unilever PLC,,
UNITE Group PLC,,
United Utilities Group PLC,,United Kingdom
