Company,Country,public website
European Space Agency,France,
Exacompta Clairefontaine,France,
GROUPE BIGARD,France,
Groupe Guillin,France,
Hallite Seals International,France,
Hermes International,France,
Icade,France,
LA POSTE,France,
LACTALIS FROMAGES,France,
LENOVO FRANCE,France,
Les Nouveaux Constructeurs,France,
LFB Biomedicaments,France,
MAIF,France,
mc²i Groupe : Conseil en Systemes d'Information,France,
Micropole SA,France,
N M Rothschild & Sons Limited,France,
NEO SECURITY,France,
Pierre Fabre ,France,
PURITE,France,
Redcats Group,France,
SAP FRANCE,France,
SNCF VOYAGEURS,France,
SNF,France,
Stokomani,France,
Systeme U Centrale Nationale,France,
Talan,France,
Teleperformance,France,
THALES DMS FRANCE ,France,
Thomson ,France,
Veolia Environnement,France,
VIVESCIA,France,
Voies Navigables De France,France,
VOLKSWAGEN GROUP FRANCE,France,
Vranken-Pommery Monopole,France,
Warner Chilcott France,France,
(AQ) NETWORKS LIMITED,United Kingdom,
1 METRO,United Kingdom,
1&1 IONOS LIMITED,United Kingdom,
1St Goldstar Taxis,United Kingdom,http://www.700700.co.uk
24SHELLS LIMITED,United Kingdom,
3I GROUP PLC,United Kingdom,http://www.3i.com
A B C City Link,United Kingdom,
A2DOMINION HOUSING GROUP LIMITED,United Kingdom,http://www.a2dominion.co.uk
AA IRELAND LIMITED,Ireland,
AB MANAGEMENT SERVICES LIMITED,United Kingdom,http://www.a2bvanhire.co.uk
AB NETWORK SOLUTIONS LTD,United Kingdom,
ABB LIMITED,United Kingdom,http://www.abb.com
ABBEY OF THE ARTS - EARTH MONASTERY LIMITED,Ireland,
ABBOTT IRELAND LIMITED,Ireland,abbott.com
ABCAM PLC,United Kingdom,abcam.com
ABELLIO GREATER ANGLIA LTD,United Kingdom,
ABN AMRO CLEARING BANK N.V.,United Kingdom,http://www.abnamro.com
ABTEC NETWORK SYSTEMS LTD.,United Kingdom,abtecnet.com
ABZENA (UK) LIMITED,United Kingdom,
ACADEMIA LIMITED,United Kingdom,http://www.academia.co.uk
ACCENTURE LIMITED,Ireland,accenture.com
ACCESS UK LTD,United Kingdom,http://www.theaccessgroup.com
ACCORD MARKETING LIMITED,United Kingdom,
ACORA LIMITED,United Kingdom,http://www.acora.com
Acoustic & Noise Services,Ireland,
ACS TECHNOLOGIES LTD,United Kingdom,http://www.acstech.co.uk
ACTIVTRADES PLC,United Kingdom,http://www.activtrades.com
ACTURIS GROUP LIMITED,United Kingdom,http://www.acturis.com
ADAPT SERVICES LIMITED,United Kingdom,http://www.gpscardiff.co.uk
ADAPTIMMUNE THERAPEUTICS PLC,United Kingdom,http://www.adaptimmune.com
ADDLESHAW GODDARD LLP,United Kingdom,addleshawgoddard.com
ADECCO UK LIMITED,United Kingdom,http://www.adecco.co.uk
ADEPT SECURITY SYSTEMS LIMITED,United Kingdom,http://www.adeptsecurity.com
ADGLOW LIMITED,United Kingdom,http://www.adglow.co.uk
ADIDAS (U.K.) LIMITED,United Kingdom,http://www.adidas.com
ADM INVESTOR SERVICES INTERNATIONAL LIMITED,United Kingdom,
ADMIRAL GROUP PLC,United Kingdom,admiralgroup.co.uk
ADOBE SYSTEMS EUROPE LIMITED,United Kingdom,http://www.adobe.com
ADOBE SYSTEMS HOLDING COMPANY LIMITED,Ireland,
ADROLL ADVERTISING LIMITED,Ireland,
ADSTREAM (UK) LIMITED,United Kingdom,http://www.adstream.com
ADTHENA LTD,United Kingdom,adthena.com
ADVANCED MANUFACTURING CONTROL SYSTEMS LIMITED,Ireland,
AEGON UK PLC,United Kingdom,aegon.com
AFILIAS LIMITED,Ireland,
AGEAS SERVICES (UK) LIMITED,United Kingdom,http://www.ageas.co.uk
AGGREGATE INDUSTRIES UK LIMITED,United Kingdom,http://www.aggregate.com
AGGREKO PLC,United Kingdom,aggreko.com
AIMIA FOODS LIMITED,United Kingdom,http://www.aimiafoods.com
AIR IT LIMITED,United Kingdom,https://www.air-it.co.uk
AIRBAND COMMUNITY INTERNET LIMITED,United Kingdom,http://www.airband.co
AIRSPEED COMMUNICATIONS LIMITED,Ireland,
AIRSWIFT HOLDINGS LIMITED,United Kingdom,airswift.com
AKAMAI TECHNOLOGIES LIMITED,United Kingdom,http://www.akamai.com
AKQA LIMITED,United Kingdom,http://www.akqa.com
AL RAYAN BANK PLC,United Kingdom,http://www.alrayanbank.co.uk
ALEXANDER MANN SOLUTIONS LIMITED,United Kingdom,http://www.alexandermannsolutions.com
ALFA LAVAL HOLDINGS LIMITED,United Kingdom,http://www.alfalaval.com
ALFRESCO SOFTWARE LIMITED,United Kingdom,http://www.alfresco.com
ALKIMII LIMITED,Ireland,
ALL3MEDIA INTERNATIONAL LIMITED,United Kingdom,http://www.all3media.com
ALLEN & OVERY LLP,United Kingdom,http://www.allenovery.com
ALLIANZ INSURANCE PLC,United Kingdom,allianz.co.uk
"ALLIED IRISH BANKS, PUBLIC LIMITED COMPANY",Ireland,
ALLIES AND MORRISON LLP,United Kingdom,http://www.alliesandmorrison.com
ALPHASIGHTS HOLDINGS LTD,United Kingdom,http://www.alphasights.com
AMDOCS (UK) LIMITED,United Kingdom,
AMEC FOSTER WHEELER GROUP LIMITED,United Kingdom,http://www.amecfw.com
AMITO LTD,United Kingdom,
AMPITO GROUP LLP,United Kingdom,http://www.ampito.com
AMV BBDO INVESTMENTS LIMITED,United Kingdom,
AN POST BILLPOST PROCESSING SERVICES LIMITED,Ireland,
ANALOG DEVICES TECHNOLOGY UNLIMITED COMPANY,Ireland,
ANAPLAN LIMITED,United Kingdom,
ANCHOR TRUST CO LTD,United Kingdom,
ANCON LIMITED,United Kingdom,http://www.ancon.co.uk
AND PARTNERS LONDON LIMITED,United Kingdom,
ANDREWS & ARNOLD (NUMBERS) LTD,United Kingdom,aa.net.uk
ANGEL RISK MANAGEMENT LIMITED,United Kingdom,http://angelriskmanagement.com
ANGLO AMERICAN PLC,United Kingdom,http://www.angloamerican.co.uk
ANHEUSER-BUSCH INBEV LIMITED,United Kingdom,ab-inbev.com
ANS GROUP LIMITED,United Kingdom,http://www.ans.co.uk
ANTHONY NOLAN,United Kingdom,http://www.anthonynolan.org
ANYCAST LTD,United Kingdom,
AON UK LIMITED,United Kingdom,http://www.aon.com
Aperture Media,Ireland,
APTIV GLOBAL OPERATIONS LIMITED,Ireland,
APTUM TECHNOLOGIES (UK) LIMITED,United Kingdom,http://www.peer1hosting.co.uk
APTUS TECHNOLOGY LIMITED,United Kingdom,http://www.aptustechnology.co.uk
AQUIS EXCHANGE PLC,United Kingdom,http://www.aquis.eu
ARC TECHNICAL SERVICES LTD,United Kingdom,
ARCADIA GROUP HOLDINGS LIMITED,United Kingdom,
ARCADIA GROUP LIMITED,United Kingdom,http://www.dorothyperkins.co.uk
ARDEN PARTNERS PLC,United Kingdom,http://www.arden-partners.com
ARGOS LIMITED,United Kingdom,argos.co.uk
ARGUS MEDIA LIMITED,United Kingdom,argusmedia.com
ARKPHIRE IRELAND LIMITED,Ireland,
ARNOTTS LIMITED,Ireland,http://www.arnotts.ie
ARQIVA LIMITED,United Kingdom,http://www.arqiva.com
ARRK GROUP LIMITED,United Kingdom,http://www.arrkgroup.com
ARROWGRASS CAPITAL PARTNERS LLP,United Kingdom,http://www.arrowgrass.com
ARTHUR J. GALLAGHER & CO.,United Kingdom,
ARUP GROUP LIMITED,United Kingdom,arup.com
ARVATO LIMITED,United Kingdom,http://www.arvato.co.uk
ASA RESOURCE GROUP PLC,United Kingdom,
ASAVIE TECHNOLOGIES LIMITED,Ireland,
ASCENTIAL PLC,United Kingdom,http://www.ascential.com
ASHMORE GROUP PLC,United Kingdom,http://www.ashmoregroup.com
ASHURST LLP,United Kingdom,http://www.ashurst.com
ASK4 LIMITED,United Kingdom,http://www.ask4.com
ASOS PLC,United Kingdom,asos.com
ASOS.COM LIMITED,United Kingdom,http://www.asos.com
ASPECT CAPITAL LIMITED,United Kingdom,http://www.aspectcapital.com
ASPEN INSURANCE UK LIMITED,United Kingdom,http://www.aspen.co
ASPIRE TECHNOLOGY SOLUTIONS LTD,United Kingdom,aspirets.com
ASSOCIATED NETWORKS (UK) LIMITED,United Kingdom,http://www.anlx.com
ASSOCIATION OF CHARTERED CERTIFIED ACCOUNTANTS,United Kingdom,http://www.accaglobal.com
ASSURE HEDGE LIMITED,Ireland,
ASTRAZENECA PLC,United Kingdom,astrazeneca.com
ATKINS LIMITED,United Kingdom,http://www.atkinsglobal.com
ATLAS COMMUNICATIONS (NI) LIMITED,United Kingdom,http://www.atlas-comms.com
ATOS IT SERVICES UK LIMITED,United Kingdom,
ATS EUROMASTER LIMITED,United Kingdom,http://www.ats.co.uk
AURIVO CO-OPERATIVE SOCIETY LIMITED,Ireland,www.connachtgold.ie
AUTONOMY SYSTEMS LIMITED,United Kingdom,http://www.autonomy.com
AVIVA PLC,United Kingdom,http://www.avivainvestors.com
AXA PARTNERS,Ireland,
AXA SERVICES LIMITED,United Kingdom,http://www.hays.co.uk
AXWAY IRELAND LIMITED,Ireland,
AXWAY UK LIMITED,United Kingdom,http://www.axway.com
AYLIEN LIMITED,Ireland,
AZZURRI COMMUNICATIONS LIMITED,United Kingdom,http://www.azzurricommunications.com
B & L ACCOR 4 LIMITED,United Kingdom,
B & Q IRELAND LIMITED,Ireland,
B G RESEARCH LIMITED,United Kingdom,http://www.bgresearchltd.com
B2B INTERNATIONAL MARKETING GROUP LIMITED,United Kingdom,
BABCOCK INTERNATIONAL GROUP PLC,United Kingdom,babcockinternational.com
BABYLON PARTNERS LIMITED,United Kingdom,http://www.babylonhealth.com
BACKBONE CONNECT LTD,United Kingdom,backboneconnect.co.uk
BADOO TRADING LIMITED,United Kingdom,
BAE SYSTEMS PLC,United Kingdom,http://www.baesystems.com
BAKER TILLY FINANCIAL MANAGEMENT LIMITED,United Kingdom,https://www.bakertilly.com
BAKKAVOR FINANCE (2) LIMITED,United Kingdom,http://www.bakkavor.com
BALFOUR BEATTY GROUP LIMITED,United Kingdom,http://www.balfourbeatty.com
BALFOUR BEATTY PLC,United Kingdom,http://www.balfourbeatty.com
BAM CONSTRUCT UK LIMITED,United Kingdom,http://www.bam.co.uk
Bamboo Court,Ireland,
BANK OF ENGLAND,United Kingdom,
BARBICAN CENTRE TRUST LIMITED(THE),United Kingdom,http://www.barbican.org.uk
BARCLAYCARD FUNDING PLC,United Kingdom,
BARCLAYS BANK UK PLC,United Kingdom,http://www.barclays.co.uk
BARCLAYS CAPITAL SECURITIES LIMITED,United Kingdom,http://www.barcap.com
BARCLAYS PLC,United Kingdom,http://www.investment.barclays.com
BARINGA PARTNERS LLP,United Kingdom,http://www.baringa.com
BARNETT WADDINGHAM LLP,United Kingdom,http://www.barnett-waddingham.co.uk
BAXTERSTOREY LIMITED,United Kingdom,http://www.wshlimited.com
BAYER LIMITED,Ireland,
BBC GLOBAL NEWS LIMITED,United Kingdom,bbc.co.uk
BCSG LTD,United Kingdom,http://www.bcsg.com
Bdo Uk Ltd,United Kingdom,http://www.bdo.co.uk
BEACON HOSPITAL SANDYFORD LIMITED,Ireland,
BEAMING LTD,United Kingdom,https://www.beaming.co.uk
BEARINGPOINT IRELAND LIMITED,Ireland,
BEAUTIFUL NOISE LIMITED,Ireland,
BEEKS FINANCIAL CLOUD GROUP PLC,United Kingdom,
BENEVOLENTAI TECHNOLOGY LIMITED,United Kingdom,http://www.benevolent.ai
BENTLEY SYSTEMS INTERNATIONAL LIMITED,Ireland,
BERKELEY GLOBAL LIMITED,United Kingdom,
BERRY BROS. & RUDD LIMITED,United Kingdom,http://www.bbr.com
Betfair,Ireland,www.betfair.com
BETFAIR GROUP LIMITED,United Kingdom,http://www.betfair.com
BGL GROUP LIMITED,United Kingdom,http://www.bglgroup.co.uk
BHARTI AIRTEL (UK) LIMITED,United Kingdom,https://www.airtel.in
BIDX1 IRELAND LIMITED,Ireland,
BIP SOLUTIONS LIMITED,United Kingdom,bipsolutions.com
BIRD & BIRD (MEA) LLP,United Kingdom,http://www.twobirds.com
BIRKBECK COLLEGE,United Kingdom,bbk.ac.uk
BIRMINGHAM CHAMBER OF COMMERCE AND INDUSTRY,United Kingdom,http://www.birmingham-chamber.com
Birmingham City University,United Kingdom,http://www.bcu.ac.uk
BISTECH GROUP PLC,United Kingdom,bistech.co.uk
BJSS LIMITED,United Kingdom,bjss.com
BLIZZARD ENTERTAINMENT IRELAND LIMITED,Ireland,
BLOOMBERG POLARLAKE HOLDINGS LIMITED,Ireland,
BLUECREST CAPITAL MANAGEMENT (UK) LLP,United Kingdom,http://www.bluecrestcapital.com
BLUEFIN INSURANCE SERVICES LIMITED,United Kingdom,https://www.aplan.co.uk
BMI HEALTHCARE LIMITED,United Kingdom,http://www.bmihealthcare.co.uk
BMJ ARCHITECTS LIMITED,United Kingdom,http://www.bmjarchitects.com
BMO ASSET MANAGEMENT (HOLDINGS) PLC,United Kingdom,http://www.bmogam.com
Boden,United Kingdom,http://www.boden.co.uk
Boo Hoo Records,United Kingdom,
BOOKING.COM TRANSPORT LIMITED,United Kingdom,http://www.rentalcars.com
BOULDER MEDIA LIMITED,Ireland,
BRADY GLOBAL LTD,United Kingdom,
Brenntag Uk & Ireland,United Kingdom,http://www.brenntag.co.uk
BREVAN HOWARD ASSET MANAGEMENT LLP,United Kingdom,http://www.brevanhoward.com
BREWIN DOLPHIN LIMITED,United Kingdom,brewin.co.uk
BRIDGE & PARTNERS LTD,United Kingdom,
BRIDGE FIBRE LIMITED,United Kingdom,http://www.bridgepartners.co.uk
BRIGHTFLAG ESOP NOMINEES LIMITED,Ireland,
BRIGHTON SPECSAVERS LIMITED,United Kingdom,
Brightsolid,United Kingdom,http://www.brightsolid.com
BRIGHTSTAR INVESTMENTS LIMITED,United Kingdom,
BRIGHTSTARR GROUP LIMITED,United Kingdom,http://www.brightstarr.com
BRIGHTVIEW LTD,United Kingdom,
BRISTOL CITY COUNCIL,United Kingdom,bristol.gov.uk
BRISTOWS LLP,United Kingdom,http://www.bristows.com
BRITISH AIRWAYS PLC,United Kingdom,http://www.mybapension.com
BRITISH AMERICAN TOBACCO P.L.C.,United Kingdom,
BRITISH BROADCASTING CORPORATION,United Kingdom,
BRITISH COUNCIL(THE),United Kingdom,http://www.britishcouncil.org
BRITISH HEART FOUNDATION,United Kingdom,http://www.bhf.org.uk
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),United Kingdom,http://www.britishland.co.uk
BRITISH MEDICAL ASSOCIATION,United Kingdom,bma.org.uk
BRITISH RED CROSS SOCIETY,United Kingdom,redcross.org.uk
BROADGATE ESTATES LIMITED,United Kingdom,http://www.broadgateestates.co.uk
BROOKS MACDONALD ASSET MANAGEMENT LIMITED,United Kingdom,http://www.brooksmacdonald.com
BROWN BAG FILMS UNLIMITED COMPANY,Ireland,www.brownbagfilms.com
BROWN THOMAS GROUP LIMITED,Ireland,
BRUNSWICK GROUP LLP,United Kingdom,brunswickgroup.com
BRYAN CAVE LEIGHTON PAISNER LLP,United Kingdom,http://www.blplaw.com
BSO NETWORK SOLUTIONS LIMITED,United Kingdom,http://www.bsonetwork.com
BT COMMUNICATIONS IRELAND LIMITED,Ireland,
BT GLOBAL SERVICES LIMITED,United Kingdom,http://www.bt.com
BULGARI IRELAND LIMITED,Ireland,
BUPA CARE SERVICES LIMITED,United Kingdom,http://www.bupa.co.uk
BURBERRY LIMITED,United Kingdom,burberry.com
BUTLERS CHOCOLATES UNLIMITED COMPANY,Ireland,www.butlerschocolates.com
C A Decorating Services,United Kingdom,
C SPENCER LIMITED,United Kingdom,http://www.thespencergroup.co.uk
C.C.S. (LEEDS) LIMITED,United Kingdom,https://www.ccsleeds.co.uk
CACI LIMITED,United Kingdom,caci.co.uk
CADENCE DESIGN SYSTEMS (IRELAND) LIMITED,Ireland,
CAE TECH LIMITED,United Kingdom,
Cafod,United Kingdom,https://cafod.org.uk
CAIRN SOLUTIONS LIMITED,United Kingdom,http://www.cairnsolutions.com
CALL FLOW SOLUTIONS LIMITED,United Kingdom,callflow.co.uk
CALLAGHAN JEWELLERS LIMITED,Ireland,
CAMARA EDUCATION COMPANY LIMITED BY GUARANTEE,Ireland,
CAMBRIDGE ASSESSMENT,United Kingdom,http://cambridgeassessment.org.uk
CAMBRIDGE CONSULTANTS LIMITED,United Kingdom,http://www.cambridgeconsultants.com
CAMBRIDGE EDUCATION GROUP LIMITED,United Kingdom,http://www.cam-ed.com
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,United Kingdom,http://www.cuh.org.uk
CANACCORD GENUITY LIMITED,United Kingdom,http://www.canaccordgenuity.com
CANARY WHARF GROUP PLC,United Kingdom,http://www.canarywharf.com
CANCER RESEARCH UK,United Kingdom,cancerresearchuk.org
CAPITA PLC,United Kingdom,capita.co.uk
Capital International Group,United Kingdom,
CAPSTICKS SOLICITORS LLP,United Kingdom,http://www.capsticks.com
CARE UK HEALTH & SOCIAL CARE LIMITED,United Kingdom,
CARILLION GB LIMITED,United Kingdom,
CARLSBERG UK LIMITED,United Kingdom,http://www.carlsberg.co.uk
CATALYST2 LTD,United Kingdom,http://www.catalyst2.com
Catch22,United Kingdom,http://www.catch-22.org.uk
CATO NETWORKS (UK) LIMITED,United Kingdom,
CBRE LIMITED,United Kingdom,http://www.cbre.com
CDW LIMITED,United Kingdom,cdw.com
CELLO HEALTH CONSULTING LTD,United Kingdom,http://www.brightblueresearch.com
CENKOS SECURITIES PLC,United Kingdom,http://www.cenkos.com
CENTRICA PLC,United Kingdom,centrica.com
CERBERUS NETWORKS LIMITED,United Kingdom,http://www.cerberusnetworks.co.uk
CFC UNDERWRITING LIMITED,United Kingdom,cfcunderwriting.com
CFN SOLUTIONS LIMITED,United Kingdom,
CGI IT UK LIMITED,United Kingdom,cgi-group.co.uk
CHALKDOWN GROUP RIDING FOR THE DISABLED ASSOCIATION,United Kingdom,
CHARTERED INSURANCE INSTITUTE,United Kingdom,http://www.cii.co.uk
CHARTERHOUSE GROUP INTERNATIONAL LTD,United Kingdom,
CHASE DE VERE IFA GROUP PLC,United Kingdom,http://www.chasedevere.co.uk
CHAUCER MANAGEMENT HOLDINGS LIMITED,United Kingdom,
CHELSEA FC PLC,United Kingdom,http://www.chelseafc.com
CHESS ICT LIMITED,United Kingdom,http://www.chessict.co.uk
Chevron,United Kingdom,http://www.chevron.com
CHINA TELECOM (EUROPE) LIMITED,United Kingdom,http://www.chinatelecomeurope.com
CHINA UNICOM (EUROPE) OPERATIONS LIMITED,United Kingdom,http://www.chinaunicom.com
CHIRISA INVESTMENTS UNLIMITED COMPANY,Ireland,
CHRISTIE GROUP PLC,United Kingdom,http://www.christie.com
CHUBB SERVICES UK LIMITED,United Kingdom,http://www.integrogroup.com
CINGULARITY MEDIA LIMITED,United Kingdom,
CINOS LIMITED,United Kingdom,http://www.cinos.co.uk
CINVEN PARTNERS LLP,United Kingdom,http://www.cinven.com
CIRCLE K IRELAND HOLDING LIMITED,Ireland,
CISCO SYSTEMS LIMITED,United Kingdom,http://www.cisco.com
CITADEL LTD,United Kingdom,
CITY AND GUILDS KINEO LIMITED,United Kingdom,http://www.kineo.com
CITY AND GUILDS OF LONDON INSTITUTE,United Kingdom,cityandguilds.com
CITYFIBRE INFRASTRUCTURE HOLDINGS LIMITED,United Kingdom,http://www.cityfibre.com
CIVICA UK LIMITED,United Kingdom,civica.co.uk
CLARANET GROUP LIMITED,United Kingdom,claranet.co.uk
CLARINS (U.K.) LIMITED,United Kingdom,http://www.clarins.co.uk
CLARION EVENTS LIMITED,United Kingdom,http://www.clarionevents.com
CLARIVATE ANALYTICS (UK) LIMITED,United Kingdom,
CLEAR CHANNEL UK LIMITED,United Kingdom,clearchanneloutdoor.com
CLEAR DIRECTION SALES & MARKETING SOLUTIONS LIMITED,Ireland,
CLEARSCORE MUSIC LIMITED,United Kingdom,
CLEARSTREAM TECHNOLOGIES GROUP LIMITED,Ireland,
CLIENT SERVER LTD,United Kingdom,http://www.client-server.com
CLIFFORD CHANCE LLP,United Kingdom,http://www.cliffordchance.com
CLOSE BROTHERS LIMITED,United Kingdom,http://www.closebrothers.com
CLOUDCALL LIMITED,United Kingdom,http://www.cloudcall.com
CLOUDCIX LIMITED,Ireland,
CLOUDCONNX LIMITED,United Kingdom,http://www.cloudconnx.net
CLOUDFLARE LIMITED,United Kingdom,cloudflare.com
CLOUDHELIX LIMITED,United Kingdom,http://www.cloudhelix.net
CLOUVIDER LIMITED,United Kingdom,
CLUTTONS LLP,United Kingdom,http://www.cluttons.com
CLYDE & CO LLP,United Kingdom,http://www.clydeco.com
CMC MARKETS UK PLC,United Kingdom,cmcmarkets.com
CMED GROUP LIMITED,United Kingdom,http://www.cmedgroup.com
CMS (AV) LIMITED,United Kingdom,
CMS DISTRIBUTION LIMITED,United Kingdom,cmsdistribution.com
COASTLINE GAMING LIMITED,Ireland,
COBHAM HALL,United Kingdom,http://www.cobhamhall.com
COBWEB SOLUTIONS LIMITED,United Kingdom,http://www.cobweb.com
COCA-COLA EUROPEAN PARTNERS PLC,United Kingdom,ccep.com
COGENT COMMUNICATIONS UK LTD,United Kingdom,cogentco.com
COGNIZANT WORLDWIDE LIMITED,United Kingdom,http://www.cognizant.com
COLLEN CONSTRUCTION LIMITED,Ireland,
COLLINSON INTERNATIONAL LIMITED,United Kingdom,http://www.collinsongroup.com
COLT GROUP HOLDINGS LIMITED,United Kingdom,
COMBILIFT UNLIMITED COMPANY,Ireland,www.combilift.com
COMIT HOSPITALITY LIMITED,Ireland,
COMMUNITY FOODS LIMITED,United Kingdom,http://www.communityfoods.co.uk
COMPAGNIE FINANCIERE TRADITION SA (LONDON BRANCH),United Kingdom,http://www.tradition.com
COMPASS GROUP PLC,United Kingdom,http://www.compass-group.com
COMPUTACENTER (UK) LIMITED,United Kingdom,computacenter.com
Computer Futures,United Kingdom,http://www.computerfutures.com
CONCERN WORLDWIDE,Ireland,www.concern.net
CONDE NAST INTERNATIONAL LIMITED,United Kingdom,
CONDUIT CONSULTING GLOBAL LTD,United Kingdom,
CONJURA IRELAND LIMITED,Ireland,
CONNECT-IP LTD,United Kingdom,http://www.connect-ip.co.uk
CONNETU LTD,United Kingdom,http://www.connetu.com
Conradh na Gaeilge,Ireland,www.cnag.ie
CONTENTOLOGY LTD,United Kingdom,
CONTEXT LIMITED,United Kingdom,contextworld.com
CONTINGENCY NETWORKS LIMITED,United Kingdom,
CONTINUUM MEDIA NETWORK UK LIMITED,United Kingdom,
CONTROL RISKS GROUP LIMITED,United Kingdom,controlrisks.com
Converge,United Kingdom,http://www.gbeconverge.com
CONVERGED COMMUNICATION SOLUTIONS LIMITED,United Kingdom,http://www.century.uk.net
CONVERGENCE (GROUP NETWORKS) LIMITED,United Kingdom,http://www.convergencegroup.co.uk
COOK MEDICAL EUROPE LIMITED,Ireland,
CORE NETWORK LTD,United Kingdom,
CORECRUITMENT LIMITED,United Kingdom,http://www.corecruitment.com
COREIX LTD,United Kingdom,http://www.coreix.net
CORK INSTITUTE OF TECHNOLOGY,Ireland,www.cit.ie
COSTAIN GROUP PLC,United Kingdom,costain.com
COUNTRYWIDE PLC,United Kingdom,http://www.propertywide.co.uk
COUNTY BROADBAND LTD,United Kingdom,
COURIER SOFTWARE LTD,United Kingdom,
Courtyard Bakery,Ireland,
CPI GROUP (UK) LTD,United Kingdom,http://www.highbar.com
CPL RESOURCES PUBLIC LIMITED COMPANY,Ireland,
CRAYON LIMITED,United Kingdom,http://www.fast.org
CREDIT AGRICOLE CIB HOLDINGS LIMITED,United Kingdom,http://www.ca-cib.com
CREDIT SUISSE AG,United Kingdom,http://www.creditsuisse.com
CROSSAN CABLECOMM LIMITED,Ireland,
CROSSKNOWLEDGE GROUP LIMITED,United Kingdom,
CS2 LIMITED,United Kingdom,http://www.cs2.co.uk
CTS PROJECTS LIMITED,United Kingdom,http://www.ctsprojects.net
CUBIC TELECOM LIMITED,Ireland,
Culina,United Kingdom,
CURVE INTERACTIVE LIMITED,United Kingdom,http://www.curveinteractive.co.uk
CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LIMITED,United Kingdom,http://www.cushmanwakefield.co.uk
CUSTARD TECHNICAL SERVICES LIMITED,United Kingdom,http://www.custardgroup.co.uk
CWCS MANAGED HOSTING LIMITED,United Kingdom,http://www.cwcs.co.uk
CYBERSOURCE LTD.,United Kingdom,http://www.cybersource.co.uk
CYGNET HEALTH CARE LIMITED,United Kingdom,
CYXTERA TECHNOLOGY UK LIMITED,United Kingdom,
D L P COMMUNICATIONS,United Kingdom,
D P I ESTATES LIMITED,United Kingdom,
D R NEWITT & ASSOCIATES LIMITED,United Kingdom,http://www.drnewitt.com
D S L GROUP (NOTTINGHAM) LIMITED,United Kingdom,http://www.dslgroup.co.uk
D T M INSURANCE BROKERS LIMITED,United Kingdom,http://www.dtminsurance.co.uk
D YOUNG & CO LLP,United Kingdom,http://www.dyoung.com
DAA PUBLIC LIMITED COMPANY,Ireland,www.dublinairport.com
DAILY MAIL AND GENERAL TRUST P L C,United Kingdom,http://www.mailonline.co.uk
DAIMLER UK LIMITED,United Kingdom,http://www.daimler-financialservices.com
DAISY COMMUNICATIONS LTD.,United Kingdom,daisycomms.co.uk
DAISY GROUP HOLDINGS LIMITED,United Kingdom,daisygroup.com
DANA PETROLEUM LIMITED,United Kingdom,http://www.dana-petroleum.com
DAON UNLIMITED COMPANY,Ireland,
DATADOG HOLDING LIMITED,Ireland,
DATALEX (IRELAND) LIMITED,Ireland,
DATAPIPE EUROPE LIMITED,United Kingdom,https://www.datapipe-europe.com
DAVID LLOYD LEISURE LIMITED,United Kingdom,http://www.davidlloyd.co.uk
DAVIES GROUP LIMITED,United Kingdom,http://www.davies-group.com
DAVY HOLDINGS (INTERNATIONAL),Ireland,
DAWN MEATS GROUP UNLIMITED COMPANY,Ireland,
DAZN GROUP LIMITED,United Kingdom,http://www.performgroup.com
DE BEERS GROUP,United Kingdom,
DEBENHAMS PLC,United Kingdom,http://www.debenhams.com
DELIVEROO INTERNATIONAL LTD,United Kingdom,http://www.rsm.global
DELIVEROO IRELAND LIMITED,Ireland,https://deliveroo.ie
DELL PRODUCTS,Ireland,dell.com
DELPHI TECHNOLOGIES LIMITED,United Kingdom,https://www.delphi.com
DELTATRE LIMITED,United Kingdom,http://www.deltatre.com
Dental Surgery,United Kingdom,http://www.doctorsatpettswood.co.uk
DENTSU AEGIS NETWORK LTD.,United Kingdom,dentsuaegisnetwork.com
DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,United Kingdom,www.gov.uk
DESCARTES KONTAINERS LIMITED,Ireland,
Destiny Church,United Kingdom,http://www.destinyedinburgh.com
DEUTSCHE TELEKOM (UK) LIMITED,United Kingdom,
DIAGEO PLC,United Kingdom,diageo.com
DIALOG SEMICONDUCTOR PLC,United Kingdom,http://www.dialog-semiconductor.com
Digital Growth Hackers,United Kingdom,http://www.digitalgrowthhackers.com
DIRECT LINE GROUP LIMITED,United Kingdom,
DIRECT LINE INSURANCE GROUP PLC,United Kingdom,http://www.directlineforbusiness.co.uk
DIXONS CARPHONE PLC,United Kingdom,dixonscarphone.com
DMG MEDIA LIMITED,United Kingdom,http://www.dmgt.com
DOCKER (UK) LIMITED,United Kingdom,
DOGPATCH LABS MANAGEMENT DESIGNATED ACTIVITY COMPANY,Ireland,
DOMESTIC & GENERAL SERVICES LIMITED,United Kingdom,http://www.domgen.com
DONNELLEY FINANCIAL SOLUTIONS UK LIMITED,United Kingdom,http://www.rrd.com
DORNAN ENGINEERING HOLDINGS LIMITED,Ireland,www.dornan.ie
DOTDIGITAL GROUP PLC,United Kingdom,
DOUBLE NEGATIVE HOLDINGS LIMITED,United Kingdom,http://www.dneg.com
DP WORLD HOLDING UK LIMITED,United Kingdom,
